Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,3.564e+06   ,1500  ,0  ,20
2  ,3.590e+06   ,1500  ,0  ,-20
3  ,1.571e+06   ,-1.1776E-12  ,0  ,20
4  ,1.634e+06   ,-1.1776E-12  ,0  ,-20
5  ,1.714e+06   ,3000  ,0  ,-20
6  ,1.638e+06   ,3000  ,10000  ,-20
7  ,1.697e+06   ,-1.1776E-12  ,10000  ,-20
8  ,1.542e+06   ,-1.1776E-12  ,10000  ,20
9  ,1.517e+06   ,3000  ,0  ,20
10  ,1.473e+06   ,3000  ,10000  ,20
11  ,2.434e+06   ,214.29  ,0  ,20
12  ,3.372e+06   ,428.57  ,0  ,20
13  ,3.679e+06   ,642.86  ,0  ,20
14  ,3.848e+06   ,857.14  ,0  ,20
15  ,3.734e+06   ,1071.4  ,0  ,20
16  ,3.768e+06   ,1285.7  ,0  ,20
17  ,2.607e+06   ,214.29  ,0  ,-20
18  ,3.315e+06   ,428.57  ,0  ,-20
19  ,3.667e+06   ,642.86  ,0  ,-20
20  ,3.734e+06   ,857.14  ,0  ,-20
21  ,3.842e+06   ,1071.4  ,0  ,-20
22  ,3.687e+06   ,1285.7  ,0  ,-20
23  ,1.929e+06   ,3000  ,200  ,-20
24  ,2.516e+06   ,3000  ,400  ,-20
25  ,2.816e+06   ,3000  ,600  ,-20
26  ,2.958e+06   ,3000  ,800  ,-20
27  ,3.102e+06   ,3000  ,1000  ,-20
28  ,3.183e+06   ,3000  ,1200  ,-20
29  ,3.163e+06   ,3000  ,1400  ,-20
30  ,3.260e+06   ,3000  ,1600  ,-20
31  ,3.275e+06   ,3000  ,1800  ,-20
32  ,3.294e+06   ,3000  ,2000  ,-20
33  ,3.324e+06   ,3000  ,2200  ,-20
34  ,3.302e+06   ,3000  ,2400  ,-20
35  ,3.341e+06   ,3000  ,2600  ,-20
36  ,3.323e+06   ,3000  ,2800  ,-20
37  ,3.300e+06   ,3000  ,3000  ,-20
38  ,3.357e+06   ,3000  ,3200  ,-20
39  ,3.354e+06   ,3000  ,3400  ,-20
40  ,3.319e+06   ,3000  ,3600  ,-20
41  ,3.331e+06   ,3000  ,3800  ,-20
42  ,3.346e+06   ,3000  ,4000  ,-20
43  ,3.349e+06   ,3000  ,4200  ,-20
44  ,3.360e+06   ,3000  ,4400  ,-20
45  ,3.335e+06   ,3000  ,4600  ,-20
46  ,3.346e+06   ,3000  ,4800  ,-20
47  ,3.333e+06   ,3000  ,5000  ,-20
48  ,3.332e+06   ,3000  ,5200  ,-20
49  ,3.330e+06   ,3000  ,5400  ,-20
50  ,3.333e+06   ,3000  ,5600  ,-20
51  ,3.350e+06   ,3000  ,5800  ,-20
52  ,3.282e+06   ,3000  ,6000  ,-20
53  ,3.345e+06   ,3000  ,6200  ,-20
54  ,3.327e+06   ,3000  ,6400  ,-20
55  ,3.294e+06   ,3000  ,6600  ,-20
56  ,3.361e+06   ,3000  ,6800  ,-20
57  ,3.323e+06   ,3000  ,7000  ,-20
58  ,3.317e+06   ,3000  ,7200  ,-20
59  ,3.314e+06   ,3000  ,7400  ,-20
60  ,3.285e+06   ,3000  ,7600  ,-20
61  ,3.350e+06   ,3000  ,7800  ,-20
62  ,3.285e+06   ,3000  ,8000  ,-20
63  ,3.278e+06   ,3000  ,8200  ,-20
64  ,3.252e+06   ,3000  ,8400  ,-20
65  ,3.179e+06   ,3000  ,8600  ,-20
66  ,3.150e+06   ,3000  ,8800  ,-20
67  ,3.077e+06   ,3000  ,9000  ,-20
68  ,2.973e+06   ,3000  ,9200  ,-20
69  ,2.755e+06   ,3000  ,9400  ,-20
70  ,2.365e+06   ,3000  ,9600  ,-20
71  ,2.090e+06   ,3000  ,9800  ,-20
72  ,3.717e+06   ,1714.3  ,0  ,-20
73  ,3.721e+06   ,1928.6  ,0  ,-20
74  ,3.738e+06   ,2142.9  ,0  ,-20
75  ,3.623e+06   ,2357.1  ,0  ,-20
76  ,3.342e+06   ,2571.4  ,0  ,-20
77  ,2.502e+06   ,2785.7  ,0  ,-20
78  ,1.904e+06   ,-1.1776E-12  ,200  ,-20
79  ,2.500e+06   ,-1.1776E-12  ,400  ,-20
80  ,2.798e+06   ,-1.1776E-12  ,600  ,-20
81  ,2.969e+06   ,-1.1776E-12  ,800  ,-20
82  ,3.109e+06   ,-1.1776E-12  ,1000  ,-20
83  ,3.113e+06   ,-1.1776E-12  ,1200  ,-20
84  ,3.213e+06   ,-1.1776E-12  ,1400  ,-20
85  ,3.266e+06   ,-1.1776E-12  ,1600  ,-20
86  ,3.319e+06   ,-1.1776E-12  ,1800  ,-20
87  ,3.310e+06   ,-1.1776E-12  ,2000  ,-20
88  ,3.304e+06   ,-1.1776E-12  ,2200  ,-20
89  ,3.331e+06   ,-1.1776E-12  ,2400  ,-20
90  ,3.341e+06   ,-1.1776E-12  ,2600  ,-20
91  ,3.308e+06   ,-1.1776E-12  ,2800  ,-20
92  ,3.272e+06   ,-1.1776E-12  ,3000  ,-20
93  ,3.356e+06   ,-1.1776E-12  ,3200  ,-20
94  ,3.279e+06   ,-1.1776E-12  ,3400  ,-20
95  ,3.344e+06   ,-1.1776E-12  ,3600  ,-20
96  ,3.328e+06   ,-1.1776E-12  ,3800  ,-20
97  ,3.328e+06   ,-1.1776E-12  ,4000  ,-20
98  ,3.376e+06   ,-1.1776E-12  ,4200  ,-20
99  ,3.333e+06   ,-1.1776E-12  ,4400  ,-20
100  ,3.347e+06   ,-1.1776E-12  ,4600  ,-20
101  ,3.278e+06   ,-1.1776E-12  ,4800  ,-20
102  ,3.313e+06   ,-1.1776E-12  ,5000  ,-20
103  ,3.378e+06   ,-1.1776E-12  ,5200  ,-20
104  ,3.353e+06   ,-1.1776E-12  ,5400  ,-20
105  ,3.331e+06   ,-1.1776E-12  ,5600  ,-20
106  ,3.349e+06   ,-1.1776E-12  ,5800  ,-20
107  ,3.336e+06   ,-1.1776E-12  ,6000  ,-20
108  ,3.334e+06   ,-1.1776E-12  ,6200  ,-20
109  ,3.328e+06   ,-1.1776E-12  ,6400  ,-20
110  ,3.337e+06   ,-1.1776E-12  ,6600  ,-20
111  ,3.287e+06   ,-1.1776E-12  ,6800  ,-20
112  ,3.372e+06   ,-1.1776E-12  ,7000  ,-20
113  ,3.317e+06   ,-1.1776E-12  ,7200  ,-20
