Node,stress,X,Y,Z
1  ,8.957e+05   ,1452.5  ,1500  ,1535.9
3  ,1.063e+06   ,1452.5  ,-1500  ,1535.9
5  ,1.341e+06   ,1452.5  ,1500  ,1538.9
6  ,7.025e+05   ,1452.5  ,-1500  ,1538.9
9  ,5.364e+05   ,1452.5  ,-1495.6  ,1535.9
10  ,4.889e+05   ,1452.5  ,-1491.2  ,1535.9
11  ,5.802e+05   ,1452.5  ,-1486.8  ,1535.9
12  ,6.021e+05   ,1452.5  ,-1482.4  ,1535.9
13  ,7.653e+05   ,1452.5  ,-1478.1  ,1535.9
14  ,5.034e+05   ,1452.5  ,-1473.7  ,1535.9
15  ,4.264e+05   ,1452.5  ,-1469.3  ,1535.9
16  ,3.734e+05   ,1452.5  ,-1464.9  ,1535.9
17  ,4.222e+05   ,1452.5  ,-1460.5  ,1535.9
18  ,3.109e+05   ,1452.5  ,-1456.1  ,1535.9
19  ,3.309e+05   ,1452.5  ,-1451.7  ,1535.9
20  ,3.615e+05   ,1452.5  ,-1447.4  ,1535.9
21  ,2.634e+05   ,1452.5  ,-1443  ,1535.9
22  ,2.730e+05   ,1452.5  ,-1438.6  ,1535.9
23  ,2.644e+05   ,1452.5  ,-1434.2  ,1535.9
24  ,2.679e+05   ,1452.5  ,-1429.8  ,1535.9
25  ,2.267e+05   ,1452.5  ,-1425.4  ,1535.9
26  ,2.093e+05   ,1452.5  ,-1421  ,1535.9
27  ,1.885e+05   ,1452.5  ,-1416.7  ,1535.9
28  ,1.993e+05   ,1452.5  ,-1412.3  ,1535.9
29  ,1.647e+05   ,1452.5  ,-1407.9  ,1535.9
30  ,1.524e+05   ,1452.5  ,-1403.5  ,1535.9
31  ,1.306e+05   ,1452.5  ,-1399.1  ,1535.9
32  ,1.388e+05   ,1452.5  ,-1394.7  ,1535.9
33  ,1.120e+05   ,1452.5  ,-1390.3  ,1535.9
34  ,9.417e+04   ,1452.5  ,-1386  ,1535.9
35  ,8.679e+04   ,1452.5  ,-1381.6  ,1535.9
36  ,7.736e+04   ,1452.5  ,-1377.2  ,1535.9
37  ,6.319e+04   ,1452.5  ,-1372.8  ,1535.9
38  ,5.294e+04   ,1452.5  ,-1368.4  ,1535.9
39  ,4.738e+04   ,1452.5  ,-1364  ,1535.9
40  ,3.910e+04   ,1452.5  ,-1359.6  ,1535.9
41  ,3.134e+04   ,1452.5  ,-1355.3  ,1535.9
42  ,2.636e+04   ,1452.5  ,-1350.9  ,1535.9
