Location,stress,X,Y,Z
58063  ,4.822e-01   ,305  ,-3.5328E-13  ,-73.5
58064  ,7.056e-01   ,305  ,3000  ,-73.5
58066  ,9.745e-01   ,305  ,-3.5328E-13  ,-76.484
58068  ,1.022e+00   ,305  ,3000  ,-76.484
58753  ,6.474e-01   ,305  ,2995.6  ,-73.5
58754  ,6.752e-01   ,305  ,2991.2  ,-73.5
58755  ,6.639e-01   ,305  ,2986.9  ,-73.5
58756  ,6.156e-01   ,305  ,2982.5  ,-73.5
58757  ,5.980e-01   ,305  ,2978.1  ,-73.5
58758  ,6.850e-01   ,305  ,2973.7  ,-73.5
58759  ,5.555e-01   ,305  ,2969.3  ,-73.5
58760  ,5.193e-01   ,305  ,2965  ,-73.5
58761  ,5.079e-01   ,305  ,2960.6  ,-73.5
58762  ,5.365e-01   ,305  ,2956.2  ,-73.5
58763  ,5.190e-01   ,305  ,2951.8  ,-73.5
58764  ,5.022e-01   ,305  ,2947.4  ,-73.5
58765  ,4.752e-01   ,305  ,2943.1  ,-73.5
58766  ,4.622e-01   ,305  ,2938.7  ,-73.5
58767  ,4.408e-01   ,305  ,2934.3  ,-73.5
58768  ,4.141e-01   ,305  ,2929.9  ,-73.5
58769  ,4.087e-01   ,305  ,2925.5  ,-73.5
58770  ,3.824e-01   ,305  ,2921.2  ,-73.5
58771  ,3.624e-01   ,305  ,2916.8  ,-73.5
58772  ,3.556e-01   ,305  ,2912.4  ,-73.5
58773  ,3.338e-01   ,305  ,2908  ,-73.5
58774  ,3.188e-01   ,305  ,2903.6  ,-73.5
58775  ,2.962e-01   ,305  ,2899.3  ,-73.5
58776  ,2.875e-01   ,305  ,2894.9  ,-73.5
58777  ,2.733e-01   ,305  ,2890.5  ,-73.5
58778  ,2.547e-01   ,305  ,2886.1  ,-73.5
58779  ,2.386e-01   ,305  ,2881.8  ,-73.5
58780  ,2.326e-01   ,305  ,2877.4  ,-73.5
58781  ,2.177e-01   ,305  ,2873  ,-73.5
58782  ,2.048e-01   ,305  ,2868.6  ,-73.5
58783  ,1.879e-01   ,305  ,2864.2  ,-73.5
58784  ,1.776e-01   ,305  ,2859.9  ,-73.5
58785  ,1.695e-01   ,305  ,2855.5  ,-73.5
58786  ,1.531e-01   ,305  ,2851.1  ,-73.5
58787  ,1.411e-01   ,305  ,2846.7  ,-73.5
58788  ,1.353e-01   ,305  ,2842.3  ,-73.5
58789  ,1.212e-01   ,305  ,2838  ,-73.5
58790  ,1.106e-01   ,305  ,2833.6  ,-73.5
58791  ,1.040e-01   ,305  ,2829.2  ,-73.5
58792  ,9.209e-02   ,305  ,2824.8  ,-73.5
58793  ,8.480e-02   ,305  ,2820.4  ,-73.5
58794  ,7.639e-02   ,305  ,2816.1  ,-73.5
58795  ,6.705e-02   ,305  ,2811.7  ,-73.5
58796  ,5.913e-02   ,305  ,2807.3  ,-73.5
58797  ,5.544e-02   ,305  ,2802.9  ,-73.5
58798  ,6.873e-02   ,305  ,2798.5  ,-73.5
58799  ,5.267e-02   ,305  ,2794.2  ,-73.5
58800  ,3.407e-02   ,305  ,2789.8  ,-73.5
58801  ,2.342e-02   ,305  ,2785.4  ,-73.5
58802  ,1.776e-02   ,305  ,2781  ,-73.5
58803  ,1.143e-02   ,305  ,2776.6  ,-73.5
58804  ,6.046e-03   ,305  ,2772.3  ,-73.5
58805  ,1.401e-03   ,305  ,2767.9  ,-73.5
58806  ,1.049e-02   ,305  ,2763.5  ,-73.5
58807  ,1.357e-02   ,305  ,2759.1  ,-73.5
58808  ,1.462e-02   ,305  ,2754.7  ,-73.5
58809  ,1.779e-02   ,305  ,2750.4  ,-73.5
58810  ,2.229e-02   ,305  ,2746  ,-73.5
58811  ,2.672e-02   ,305  ,2741.6  ,-73.5
58812  ,2.916e-02   ,305  ,2737.2  ,-73.5
58813  ,3.332e-02   ,305  ,2732.8  ,-73.5
58814  ,3.578e-02   ,305  ,2728.5  ,-73.5
58815  ,4.028e-02   ,305  ,2724.1  ,-73.5
58816  ,4.241e-02   ,305  ,2719.7  ,-73.5
58817  ,4.517e-02   ,305  ,2715.3  ,-73.5
58818  ,4.755e-02   ,305  ,2710.9  ,-73.5
58819  ,5.317e-02   ,305  ,2706.6  ,-73.5
58820  ,6.073e-02   ,305  ,2702.2  ,-73.5
58821  ,9.626e-02   ,305  ,2697.8  ,-73.5
58822  ,9.433e-02   ,305  ,2693.4  ,-73.5
58823  ,8.198e-02   ,305  ,2689.1  ,-73.5
58824  ,6.298e-02   ,305  ,2684.7  ,-73.5
58825  ,6.199e-02   ,305  ,2680.3  ,-73.5
58826  ,6.184e-02   ,305  ,2675.9  ,-73.5
58827  ,6.238e-02   ,305  ,2671.5  ,-73.5
58828  ,6.388e-02   ,305  ,2667.2  ,-73.5
58829  ,6.454e-02   ,305  ,2662.8  ,-73.5
58830  ,6.576e-02   ,305  ,2658.4  ,-73.5
58831  ,6.521e-02   ,305  ,2654  ,-73.5
58832  ,6.771e-02   ,305  ,2649.6  ,-73.5
58833  ,6.664e-02   ,305  ,2645.3  ,-73.5
58834  ,6.822e-02   ,305  ,2640.9  ,-73.5
58835  ,6.738e-02   ,305  ,2636.5  ,-73.5
58836  ,7.233e-02   ,305  ,2632.1  ,-73.5
58837  ,1.071e-01   ,305  ,2627.7  ,-73.5
58838  ,1.008e-01   ,305  ,2623.4  ,-73.5
58839  ,8.886e-02   ,305  ,2619  ,-73.5
58840  ,7.575e-02   ,305  ,2614.6  ,-73.5
58841  ,7.102e-02   ,305  ,2610.2  ,-73.5
58842  ,6.784e-02   ,305  ,2605.8  ,-73.5
58843  ,7.264e-02   ,305  ,2601.5  ,-73.5
58844  ,8.059e-02   ,305  ,2597.1  ,-73.5
58845  ,1.183e-01   ,305  ,2592.7  ,-73.5
58846  ,1.145e-01   ,305  ,2588.3  ,-73.5
58847  ,6.836e-02   ,305  ,2583.9  ,-73.5
58848  ,6.808e-02   ,305  ,2579.6  ,-73.5
58849  ,6.675e-02   ,305  ,2575.2  ,-73.5
58850  ,6.614e-02   ,305  ,2570.8  ,-73.5
58851  ,6.498e-02   ,305  ,2566.4  ,-73.5
58852  ,6.730e-02   ,305  ,2562  ,-73.5
58853  ,6.364e-02   ,305  ,2557.7  ,-73.5
58854  ,6.537e-02   ,305  ,2553.3  ,-73.5
58855  ,6.360e-02   ,305  ,2548.9  ,-73.5
58856  ,6.151e-02   ,305  ,2544.5  ,-73.5
58857  ,6.159e-02   ,305  ,2540.1  ,-73.5
58858  ,6.116e-02   ,305  ,2535.8  ,-73.5
58859  ,6.046e-02   ,305  ,2531.4  ,-73.5
58860  ,5.537e-02   ,305  ,2527  ,-73.5
58861  ,5.450e-02   ,305  ,2522.6  ,-73.5
58862  ,5.721e-02   ,305  ,2518.2  ,-73.5
58863  ,5.959e-02   ,305  ,2513.9  ,-73.5
58864  ,5.661e-02   ,305  ,2509.5  ,-73.5
58865  ,5.829e-02   ,305  ,2505.1  ,-73.5
58866  ,5.268e-02   ,305  ,2500.7  ,-73.5
58867  ,5.440e-02   ,305  ,2496.4  ,-73.5
58868  ,5.484e-02   ,305  ,2492  ,-73.5
58869  ,4.601e-02   ,305  ,2487.6  ,-73.5
58870  ,4.834e-02   ,305  ,2483.2  ,-73.5
58871  ,5.017e-02   ,305  ,2478.8  ,-73.5
58872  ,5.217e-02   ,305  ,2474.5  ,-73.5
58873  ,5.427e-02   ,305  ,2470.1  ,-73.5
58874  ,8.936e-02   ,305  ,2465.7  ,-73.5
58875  ,8.330e-02   ,305  ,2461.3  ,-73.5
58876  ,6.277e-02   ,305  ,2456.9  ,-73.5
58877  ,5.000e-02   ,305  ,2452.6  ,-73.5
58878  ,4.826e-02   ,305  ,2448.2  ,-73.5
58879  ,4.803e-02   ,305  ,2443.8  ,-73.5
58880  ,4.621e-02   ,305  ,2439.4  ,-73.5
58881  ,4.631e-02   ,305  ,2435  ,-73.5
58882  ,4.464e-02   ,305  ,2430.7  ,-73.5
58883  ,4.554e-02   ,305  ,2426.3  ,-73.5
58884  ,4.401e-02   ,305  ,2421.9  ,-73.5
58885  ,4.281e-02   ,305  ,2417.5  ,-73.5
58886  ,4.344e-02   ,305  ,2413.1  ,-73.5
58887  ,4.197e-02   ,305  ,2408.8  ,-73.5
58888  ,3.949e-02   ,305  ,2404.4  ,-73.5
58889  ,4.089e-02   ,305  ,2400  ,-73.5
58890  ,3.401e-02   ,305  ,2395.6  ,-73.5
58891  ,4.106e-02   ,305  ,2391.2  ,-73.5
58892  ,3.882e-02   ,305  ,2386.9  ,-73.5
58893  ,4.982e-02   ,305  ,2382.5  ,-73.5
58894  ,6.903e-02   ,305  ,2378.1  ,-73.5
58895  ,3.805e-02   ,305  ,2373.7  ,-73.5
58896  ,6.172e-02   ,305  ,2369.3  ,-73.5
58897  ,4.215e-02   ,305  ,2365  ,-73.5
58898  ,3.721e-02   ,305  ,2360.6  ,-73.5
58899  ,3.696e-02   ,305  ,2356.2  ,-73.5
58900  ,3.566e-02   ,305  ,2351.8  ,-73.5
58901  ,3.594e-02   ,305  ,2347.4  ,-73.5
