Node  ;stress;X;Y;Z
146295;4,95E-01;5875,839844;-0,36430475;0
146296;4,28E-01;5875,839844;-0,36430475;3000
146297;7,03E-01;5877,693359;-2,72357464;0
146298;5,68E-01;5877,693359;-2,72357464;3000
146417;3,95E-01;5875,839844;-0,36430475;2950
146418;3,99E-01;5875,839844;-0,36430475;2900
146419;3,76E-01;5875,839844;-0,36430475;2850
146420;3,62E-01;5875,839844;-0,36430475;2800
146421;3,60E-01;5875,839844;-0,36430475;2750
146422;3,50E-01;5875,839844;-0,36430475;2700
146423;3,42E-01;5875,839844;-0,36430475;2650
146424;3,33E-01;5875,839844;-0,36430475;2600
146425;3,24E-01;5875,839844;-0,36430475;2550
146426;3,12E-01;5875,839844;-0,36430475;2500
146427;3,00E-01;5875,839844;-0,36430475;2450
146428;2,88E-01;5875,839844;-0,36430475;2400
146429;2,76E-01;5875,839844;-0,36430475;2350
146430;2,62E-01;5875,839844;-0,36430475;2300
146431;2,50E-01;5875,839844;-0,36430475;2250
146432;2,35E-01;5875,839844;-0,36430475;2200
146433;2,20E-01;5875,839844;-0,36430475;2150
146434;2,06E-01;5875,839844;-0,36430475;2100
146435;1,90E-01;5875,839844;-0,36430475;2050
146436;1,75E-01;5875,839844;-0,36430475;2000
146437;1,58E-01;5875,839844;-0,36430475;1950
146438;1,42E-01;5875,839844;-0,36430475;1900
146439;1,25E-01;5875,839844;-0,36430475;1850
146440;1,09E-01;5875,839844;-0,36430475;1800
146441;9,52E-02;5875,839844;-0,36430475;1750
146442;8,62E-02;5875,839844;-0,36430475;1700
146443;6,27E-02;5875,839844;-0,36430475;1650
146444;4,88E-02;5875,839844;-0,36430475;1600
146445;4,14E-02;5875,839844;-0,36430475;1550
146446;3,63E-02;5875,839844;-0,36430475;1500
146447;4,11E-02;5875,839844;-0,36430475;1450
146448;5,52E-02;5875,839844;-0,36430475;1400
146449;6,37E-02;5875,839844;-0,36430475;1350
146450;8,34E-02;5875,839844;-0,36430475;1300
146451;9,62E-02;5875,839844;-0,36430475;1250
146452;1,14E-01;5875,839844;-0,36430475;1200
146453;1,28E-01;5875,839844;-0,36430475;1150
146454;1,49E-01;5875,839844;-0,36430475;1100
146455;1,59E-01;5875,839844;-0,36430475;1050
146456;1,76E-01;5875,839844;-0,36430475;1000
146457;1,92E-01;5875,839844;-0,36430475;950
146458;2,07E-01;5875,839844;-0,36430475;900
146459;2,21E-01;5875,839844;-0,36430475;850
146460;2,36E-01;5875,839844;-0,36430475;800
146461;2,50E-01;5875,839844;-0,36430475;750
146462;2,63E-01;5875,839844;-0,36430475;700
146463;2,77E-01;5875,839844;-0,36430475;650
146464;2,89E-01;5875,839844;-0,36430475;600
146465;3,01E-01;5875,839844;-0,36430475;550
146466;3,13E-01;5875,839844;-0,36430475;500
146467;3,22E-01;5875,839844;-0,36430475;450
146468;3,35E-01;5875,839844;-0,36430475;400
146469;3,39E-01;5875,839844;-0,36430475;350
146470;3,55E-01;5875,839844;-0,36430475;300
146471;3,61E-01;5875,839844;-0,36430475;250
146472;3,57E-01;5875,839844;-0,36430475;200
146473;3,74E-01;5875,839844;-0,36430475;150
146474;3,72E-01;5875,839844;-0,36430475;100
146475;3,86E-01;5875,839844;-0,36430475;50
146476;4,52E-01;5877,693359;-2,72357464;2950
146477;4,23E-01;5877,693359;-2,72357464;2900
146478;3,84E-01;5877,693359;-2,72357464;2850
146479;3,62E-01;5877,693359;-2,72357464;2800
146480;3,63E-01;5877,693359;-2,72357464;2750
146481;3,49E-01;5877,693359;-2,72357464;2700
146482;3,42E-01;5877,693359;-2,72357464;2650
146483;3,33E-01;5877,693359;-2,72357464;2600
146484;3,24E-01;5877,693359;-2,72357464;2550
146485;3,12E-01;5877,693359;-2,72357464;2500
146486;3,01E-01;5877,693359;-2,72357464;2450
146487;2,89E-01;5877,693359;-2,72357464;2400
146488;2,78E-01;5877,693359;-2,72357464;2350
146489;2,61E-01;5877,693359;-2,72357464;2300
146490;2,49E-01;5877,693359;-2,72357464;2250
146491;2,36E-01;5877,693359;-2,72357464;2200
146492;2,20E-01;5877,693359;-2,72357464;2150
146493;2,06E-01;5877,693359;-2,72357464;2100
146494;1,92E-01;5877,693359;-2,72357464;2050
146495;1,74E-01;5877,693359;-2,72357464;2000
146496;1,59E-01;5877,693359;-2,72357464;1950
146497;1,40E-01;5877,693359;-2,72357464;1900
146498;1,28E-01;5877,693359;-2,72357464;1850
146499;1,10E-01;5877,693359;-2,72357464;1800
146500;9,72E-02;5877,693359;-2,72357464;1750
146501;7,77E-02;5877,693359;-2,72357464;1700
146502;5,89E-02;5877,693359;-2,72357464;1650
146503;4,26E-02;5877,693359;-2,72357464;1600
146504;3,76E-02;5877,693359;-2,72357464;1550
146505;3,35E-02;5877,693359;-2,72357464;1500
146506;3,37E-02;5877,693359;-2,72357464;1450
146507;4,69E-02;5877,693359;-2,72357464;1400
146508;6,80E-02;5877,693359;-2,72357464;1350
146509;7,71E-02;5877,693359;-2,72357464;1300
146510;9,79E-02;5877,693359;-2,72357464;1250
146511;1,07E-01;5877,693359;-2,72357464;1200
146512;1,27E-01;5877,693359;-2,72357464;1150
146513;1,47E-01;5877,693359;-2,72357464;1100
146514;1,61E-01;5877,693359;-2,72357464;1050
146515;1,75E-01;5877,693359;-2,72357464;1000
146516;1,90E-01;5877,693359;-2,72357464;950
146517;2,08E-01;5877,693359;-2,72357464;900
146518;2,20E-01;5877,693359;-2,72357464;850
146519;2,36E-01;5877,693359;-2,72357464;800
146520;2,51E-01;5877,693359;-2,72357464;750
146521;2,63E-01;5877,693359;-2,72357464;700
146522;2,78E-01;5877,693359;-2,72357464;650
146523;2,89E-01;5877,693359;-2,72357464;600
146524;3,02E-01;5877,693359;-2,72357464;550
146525;3,13E-01;5877,693359;-2,72357464;500
146526;3,23E-01;5877,693359;-2,72357464;450
146527;3,36E-01;5877,693359;-2,72357464;400
146528;3,41E-01;5877,693359;-2,72357464;350
146529;3,52E-01;5877,693359;-2,72357464;300
146530;3,38E-01;5877,693359;-2,72357464;250
146531;3,78E-01;5877,693359;-2,72357464;200
146532;3,90E-01;5877,693359;-2,72357464;150
146533;4,26E-01;5877,693359;-2,72357464;100
146534;4,62E-01;5877,693359;-2,72357464;50
146586;3,64E-01;5876,766113;-1,54393971;2775
146587;3,61E-01;5876,766113;-1,54393971;2750
146588;3,69E-01;5875,839844;-0,36430475;2775
146598;3,62E-01;5876,766113;-1,54393971;2800
146612;1,03E-01;5875,839844;-0,36430475;1775
146633;3,30E-01;5876,766113;-1,54393971;2574,999756
146634;3,24E-01;5876,766113;-1,54393971;2550
146635;3,30E-01;5875,839844;-0,36430475;2574,999756
146646;3,34E-01;5876,766113;-1,54393971;2600
146650;3,37E-01;5875,839844;-0,36430475;2625
146656;2,27E-01;5877,693359;-2,72357464;825,000061
146671;2,37E-01;5876,766113;-1,54393971;800
146677;2,27E-01;5875,839844;-0,36430475;825,000061
146689;9,44E-02;5876,766113;-1,54393971;1750
146697;3,69E-01;5876,766113;-1,54393971;150
146710;1,09E-01;5876,766113;-1,54393971;1200
146718;3,50E-01;5876,766113;-1,54393971;2700
146725;3,56E-01;5877,693359;-2,72357464;2725
146730;2,84E-01;5877,693359;-2,72357464;625
146747;2,77E-01;5876,766113;-1,54393971;650
146754;2,84E-01;5876,766113;-1,54393971;625
146755;2,89E-01;5876,766113;-1,54393971;600
146759;2,84E-01;5875,839844;-0,36430475;625
146760;6,13E-02;5876,766113;-1,54393971;1375
146761;6,47E-02;5876,766113;-1,54393971;1350
146762;6,00E-02;5875,839844;-0,36430475;1375
146767;1,48E-01;5876,766113;-1,54393971;1100
146776;1,53E-01;5877,693359;-2,72357464;1075
146781;2,51E-01;5876,766113;-1,54393971;750
146784;2,55E-01;5877,693359;-2,72357464;725
146785;2,55E-01;5876,766113;-1,54393971;725
146787;2,46E-01;5875,839844;-0,36430475;775
146794;3,78E-02;5875,839844;-0,36430475;1475
146806;4,00E-01;5877,693359;-2,72357464;125
146814;3,80E-01;5876,766113;-1,54393971;125
146815;3,78E-01;5876,766113;-1,54393971;100
146816;3,77E-01;5875,839844;-0,36430475;125
146819;2,06E-01;5876,766113;-1,54393971;2100
146830;4,55E-02;5876,766113;-1,54393971;1425
146831;3,89E-02;5877,693359;-2,72357464;1425
146832;5,18E-02;5876,766113;-1,54393971;1400
146840;1,97E-01;5875,839844;-0,36430475;2074,999756
146845;1,92E-01;5876,766113;-1,54393971;2050
146848;1,18E-01;5876,766113;-1,54393971;1175
146849;1,27E-01;5876,766113;-1,54393971;1150
146850;1,19E-01;5875,839844;-0,36430475;1175
146858;1,18E-01;5877,693359;-2,72357464;1175
146860;1,99E-01;5876,766113;-1,54393971;2074,999756
146861;1,99E-01;5877,693359;-2,72357464;2074,999756
146868;1,42E-01;5876,766113;-1,54393971;1900
146882;3,55E-01;5875,839844;-0,36430475;2725
146893;3,52E-01;5876,766113;-1,54393971;2725
146897;5,83E-02;5877,693359;-2,72357464;1375
146916;3,62E-01;5876,766113;-1,54393971;200
146920;3,80E-01;5877,693359;-2,72357464;175,0000153
146921;3,65E-01;5875,839844;-0,36430475;175,0000153
146924;1,52E-01;5875,839844;-0,36430475;1925
146934;2,21E-01;5876,766113;-1,54393971;850
146935;2,27E-01;5876,766113;-1,54393971;825,000061
146936;1,29E-01;5876,766113;-1,54393971;1875
146937;1,33E-01;5875,839844;-0,36430475;1875
146941;4,31E-02;5875,839844;-0,36430475;1575
146954;3,87E-02;5876,766113;-1,54393971;1575
146955;4,01E-02;5876,766113;-1,54393971;1550
146957;3,23E-01;5876,766113;-1,54393971;450
146958;3,29E-01;5876,766113;-1,54393971;425
146959;3,29E-01;5875,839844;-0,36430475;425
146966;3,77E-01;5876,766113;-1,54393971;2850
146967;3,66E-01;5877,693359;-2,72357464;2824,999756
146968;3,61E-01;5876,766113;-1,54393971;2824,999756
146989;5,00E-02;5877,693359;-2,72357464;1625
146994;2,63E-01;5876,766113;-1,54393971;700
146998;2,00E-01;5876,766113;-1,54393971;924,999939
147004;2,21E-01;5876,766113;-1,54393971;2150
147009;2,36E-01;5876,766113;-1,54393971;2200
147010;2,29E-01;5876,766113;-1,54393971;2175,000244
147011;2,29E-01;5875,839844;-0,36430475;2175,000244
147016;6,16E-02;5876,766113;-1,54393971;1650
147017;5,45E-02;5876,766113;-1,54393971;1625
147020;1,91E-01;5876,766113;-1,54393971;950
147021;1,99E-01;5877,693359;-2,72357464;924,999939
147035;2,28E-01;5877,693359;-2,72357464;2175,000244
147045;2,55E-01;5876,766113;-1,54393971;2275
147046;2,55E-01;5877,693359;-2,72357464;2275
147047;2,50E-01;5876,766113;-1,54393971;2250
147052;2,62E-01;5876,766113;-1,54393971;2300
147062;2,55E-01;5875,839844;-0,36430475;2275
147071;3,29E-01;5877,693359;-2,72357464;425
147072;3,35E-01;5876,766113;-1,54393971;400
147073;3,48E-01;5876,766113;-1,54393971;2675,000244
147074;3,42E-01;5876,766113;-1,54393971;2650
147075;3,47E-01;5875,839844;-0,36430475;2675,000244
147094;1,64E-01;5876,766113;-1,54393971;1975
147099;3,90E-02;5876,766113;-1,54393971;1450
147100;4,67E-02;5875,839844;-0,36430475;1425
147102;1,59E-01;5876,766113;-1,54393971;1950
147108;3,68E-01;5877,693359;-2,72357464;2775
147113;3,30E-01;5877,693359;-2,72357464;2574,999756
147116;2,70E-01;5876,766113;-1,54393971;2324,999756
147120;1,26E-01;5876,766113;-1,54393971;1850
147126;4,69E-02;5876,766113;-1,54393971;1600
147127;3,27E-02;5877,693359;-2,72357464;1575
147131;3,13E-01;5876,766113;-1,54393971;500
147138;3,57E-02;5876,766113;-1,54393971;1475
147139;2,74E-02;5877,693359;-2,72357464;1475
147151;3,19E-01;5877,693359;-2,72357464;475
147152;3,19E-01;5876,766113;-1,54393971;475
147153;3,18E-01;5875,839844;-0,36430475;475
147173;3,36E-01;5875,839844;-0,36430475;375
147176;3,38E-01;5876,766113;-1,54393971;375
147182;3,41E-01;5877,693359;-2,72357464;375
147183;3,39E-01;5876,766113;-1,54393971;350
147185;1,84E-01;5876,766113;-1,54393971;2025,000122
147190;2,96E-01;5877,693359;-2,72357464;575,000061
147191;2,96E-01;5876,766113;-1,54393971;575,000061
147209;3,92E-01;5876,766113;-1,54393971;75
147210;4,54E-01;5877,693359;-2,72357464;75
147211;3,81E-01;5876,766113;-1,54393971;50
147224;4,15E-01;5876,766113;-1,54393971;2875
147225;3,96E-01;5875,839844;-0,36430475;2875
147228;1,65E-01;5875,839844;-0,36430475;1975
147229;1,75E-01;5876,766113;-1,54393971;2000
