Node,stress,X,Y,Z
58061  ,4.956e-01   ,300  ,250  ,-76.5
58062  ,4.931e-01   ,300  ,2750  ,-76.5
58065  ,5.823e-01   ,300  ,2750  ,-73.5
58067  ,4.653e-01   ,300  ,250  ,-73.5
58069  ,2.932e-01   ,300  ,254  ,-76.5
58070  ,2.162e-01   ,300  ,258  ,-76.5
58071  ,2.013e-01   ,300  ,262  ,-76.5
58072  ,1.798e-01   ,300  ,266  ,-76.5
58073  ,1.623e-01   ,300  ,270  ,-76.5
58074  ,1.721e-01   ,300  ,274  ,-76.5
58075  ,1.505e-01   ,300  ,278  ,-76.5
58076  ,1.449e-01   ,300  ,282  ,-76.5
58077  ,1.498e-01   ,300  ,286  ,-76.5
58078  ,1.302e-01   ,300  ,290  ,-76.5
58079  ,1.209e-01   ,300  ,294  ,-76.5
58080  ,1.204e-01   ,300  ,298  ,-76.5
58081  ,1.198e-01   ,300  ,302  ,-76.5
58082  ,1.974e-01   ,300  ,306  ,-76.5
58083  ,1.042e-01   ,300  ,310  ,-76.5
58084  ,1.057e-01   ,300  ,314  ,-76.5
58085  ,1.125e-01   ,300  ,318  ,-76.5
58086  ,1.013e-01   ,300  ,322  ,-76.5
58087  ,7.658e-02   ,300  ,326  ,-76.5
58088  ,7.202e-02   ,300  ,330  ,-76.5
58089  ,6.809e-02   ,300  ,334  ,-76.5
58090  ,7.206e-02   ,300  ,338  ,-76.5
58091  ,5.397e-02   ,300  ,342  ,-76.5
58092  ,5.077e-02   ,300  ,346  ,-76.5
58093  ,4.987e-02   ,300  ,350  ,-76.5
58094  ,4.570e-02   ,300  ,354  ,-76.5
58095  ,3.861e-02   ,300  ,358  ,-76.5
58096  ,3.953e-02   ,300  ,362  ,-76.5
58097  ,3.106e-02   ,300  ,366  ,-76.5
58098  ,2.833e-02   ,300  ,370  ,-76.5
58099  ,2.761e-02   ,300  ,374  ,-76.5
58100  ,2.464e-02   ,300  ,378  ,-76.5
58101  ,2.131e-02   ,300  ,382  ,-76.5
58102  ,1.703e-02   ,300  ,386  ,-76.5
58103  ,1.562e-02   ,300  ,390  ,-76.5
58104  ,1.357e-02   ,300  ,394  ,-76.5
58105  ,1.166e-02   ,300  ,398  ,-76.5
58106  ,1.033e-02   ,300  ,402  ,-76.5
58107  ,9.917e-03   ,300  ,406  ,-76.5
58108  ,1.030e-02   ,300  ,410  ,-76.5
58109  ,1.086e-02   ,300  ,414  ,-76.5
58110  ,1.252e-02   ,300  ,418  ,-76.5
58111  ,1.280e-02   ,300  ,422  ,-76.5
58112  ,1.386e-02   ,300  ,426  ,-76.5
58113  ,1.598e-02   ,300  ,430  ,-76.5
58114  ,1.851e-02   ,300  ,434  ,-76.5
58115  ,2.018e-02   ,300  ,438  ,-76.5
58116  ,2.042e-02   ,300  ,442  ,-76.5
58117  ,2.367e-02   ,300  ,446  ,-76.5
58118  ,2.882e-02   ,300  ,450  ,-76.5
58119  ,2.672e-02   ,300  ,454  ,-76.5
58120  ,2.686e-02   ,300  ,458  ,-76.5
58121  ,3.865e-02   ,300  ,462  ,-76.5
58122  ,2.589e-02   ,300  ,466  ,-76.5
58123  ,2.646e-02   ,300  ,470  ,-76.5
58124  ,3.238e-02   ,300  ,474  ,-76.5
58125  ,3.716e-02   ,300  ,478  ,-76.5
58126  ,3.714e-02   ,300  ,482  ,-76.5
58127  ,3.812e-02   ,300  ,486  ,-76.5
58128  ,3.881e-02   ,300  ,490  ,-76.5
58129  ,3.069e-02   ,300  ,494  ,-76.5
58130  ,3.547e-02   ,300  ,498  ,-76.5
58131  ,3.958e-02   ,300  ,502  ,-76.5
58132  ,4.013e-02   ,300  ,506  ,-76.5
58133  ,4.144e-02   ,300  ,510  ,-76.5
58134  ,4.088e-02   ,300  ,514  ,-76.5
58135  ,4.203e-02   ,300  ,518  ,-76.5
58136  ,4.153e-02   ,300  ,522  ,-76.5
58137  ,3.717e-02   ,300  ,526  ,-76.5
58138  ,4.023e-02   ,300  ,530  ,-76.5
58139  ,4.178e-02   ,300  ,534  ,-76.5
58140  ,4.198e-02   ,300  ,538  ,-76.5
58141  ,4.116e-02   ,300  ,542  ,-76.5
58142  ,4.211e-02   ,300  ,546  ,-76.5
58143  ,3.493e-02   ,300  ,550  ,-76.5
58144  ,5.080e-02   ,300  ,554  ,-76.5
58145  ,3.500e-02   ,300  ,558  ,-76.5
58146  ,5.066e-02   ,300  ,562  ,-76.5
58147  ,3.298e-02   ,300  ,566  ,-76.5
58148  ,3.748e-02   ,300  ,570  ,-76.5
58149  ,4.109e-02   ,300  ,574  ,-76.5
58150  ,3.982e-02   ,300  ,578  ,-76.5
58151  ,4.058e-02   ,300  ,582  ,-76.5
58152  ,3.970e-02   ,300  ,586  ,-76.5
58153  ,3.919e-02   ,300  ,590  ,-76.5
58154  ,3.844e-02   ,300  ,594  ,-76.5
58155  ,3.450e-02   ,300  ,598  ,-76.5
58156  ,3.373e-02   ,300  ,602  ,-76.5
58157  ,4.441e-02   ,300  ,606  ,-76.5
58158  ,3.733e-02   ,300  ,610  ,-76.5
58159  ,3.660e-02   ,300  ,614  ,-76.5
58160  ,3.610e-02   ,300  ,618  ,-76.5
58161  ,3.584e-02   ,300  ,622  ,-76.5
58162  ,3.529e-02   ,300  ,626  ,-76.5
58163  ,3.312e-02   ,300  ,630  ,-76.5
58164  ,3.578e-02   ,300  ,634  ,-76.5
58165  ,3.406e-02   ,300  ,638  ,-76.5
58166  ,3.001e-02   ,300  ,642  ,-76.5
58167  ,2.936e-02   ,300  ,646  ,-76.5
58168  ,2.601e-02   ,300  ,650  ,-76.5
58169  ,2.722e-02   ,300  ,654  ,-76.5
58170  ,3.170e-02   ,300  ,658  ,-76.5
58171  ,2.784e-02   ,300  ,662  ,-76.5
58172  ,3.129e-02   ,300  ,666  ,-76.5
58173  ,2.712e-02   ,300  ,670  ,-76.5
58174  ,2.355e-02   ,300  ,674  ,-76.5
58175  ,3.034e-02   ,300  ,678  ,-76.5
58176  ,2.803e-02   ,300  ,682  ,-76.5
58177  ,2.766e-02   ,300  ,686  ,-76.5
58178  ,2.698e-02   ,300  ,690  ,-76.5
58179  ,2.612e-02   ,300  ,694  ,-76.5
58180  ,2.329e-02   ,300  ,698  ,-76.5
58181  ,2.142e-02   ,300  ,702  ,-76.5
58182  ,2.281e-02   ,300  ,706  ,-76.5
58183  ,2.189e-02   ,300  ,710  ,-76.5
58184  ,2.387e-02   ,300  ,714  ,-76.5
58185  ,2.121e-02   ,300  ,718  ,-76.5
58186  ,2.150e-02   ,300  ,722  ,-76.5
58187  ,2.377e-02   ,300  ,726  ,-76.5
58188  ,2.251e-02   ,300  ,730  ,-76.5
58189  ,2.187e-02   ,300  ,734  ,-76.5
58190  ,1.801e-02   ,300  ,738  ,-76.5
58191  ,2.486e-02   ,300  ,742  ,-76.5
58192  ,2.068e-02   ,300  ,746  ,-76.5
58193  ,1.653e-02   ,300  ,750  ,-76.5
58194  ,2.072e-02   ,300  ,754  ,-76.5
58195  ,1.685e-02   ,300  ,758  ,-76.5
58196  ,2.241e-02   ,300  ,762  ,-76.5
58197  ,1.665e-02   ,300  ,766  ,-76.5
58198  ,1.896e-02   ,300  ,770  ,-76.5
58199  ,1.498e-02   ,300  ,774  ,-76.5
58200  ,2.092e-02   ,300  ,778  ,-76.5
58201  ,1.734e-02   ,300  ,782  ,-76.5
58202  ,1.677e-02   ,300  ,786  ,-76.5
58203  ,1.625e-02   ,300  ,790  ,-76.5
58204  ,1.485e-02   ,300  ,794  ,-76.5
58205  ,1.694e-02   ,300  ,798  ,-76.5
58206  ,1.559e-02   ,300  ,802  ,-76.5
58207  ,1.507e-02   ,300  ,806  ,-76.5
58208  ,1.180e-02   ,300  ,810  ,-76.5
58209  ,1.419e-02   ,300  ,814  ,-76.5
