Node;stress;X;Y;Z
92109;6,68E-01;299,9999085;3 000,00000000;-76,5
92112;5,93E-01;299,9999085;3 000,00000000;-73,5
120004;5,86E-01;299,9999085;3 000,00000000;-75
120201;4,32E-01;299,9999085;2 998,27392578;-75
120202;4,90E-01;299,9999085;2 998,27392578;-76,5
124468;5,02E-01;299,9999085;2 998,27392578;-73,5
92983;3,53E-01;299,9999085;2 996,54760742;-76,5
94722;4,45E-01;299,9999085;2 996,54760742;-73,5
120063;3,28E-01;299,9999085;2 996,54760742;-75
120064;2,30E-01;299,9999085;2 994,82153320;-75
120065;3,58E-01;299,9999085;2 994,82153320;-73,5
124335;3,08E-01;299,9999085;2 994,82153320;-76,5
92982;2,78E-01;299,9999085;2 993,09545898;-76,5
94723;3,18E-01;299,9999085;2 993,09545898;-73,5
98185;1,72E-01;299,9999085;2 993,09545898;-75
117453;3,22E-01;299,9999085;2 991,36914063;-76,5
117454;1,28E-01;299,9999085;2 991,36914063;-75
118217;2,68E-01;299,9999085;2 991,36914063;-73,5
92981;3,27E-01;299,9999085;2 989,64331055;-76,5
94724;2,51E-01;299,9999085;2 989,64331055;-73,5
99222;1,24E-01;299,9999085;2 989,64331055;-75
115799;2,93E-01;299,9999085;2 987,91723633;-76,5
117755;8,40E-02;299,9999085;2 987,91723633;-75
124850;2,83E-01;299,9999085;2 987,91723633;-73,5
92980;3,05E-01;299,9999085;2 986,19091797;-76,5
94725;2,47E-01;299,9999085;2 986,19091797;-73,5
114906;5,93E-02;299,9999085;2 986,19091797;-75
110334;2,91E-01;299,9999085;2 984,46484375;-76,5
118216;3,12E-02;299,9999085;2 984,46484375;-75
124405;2,65E-01;299,9999085;2 984,46484375;-73,5
92979;2,87E-01;299,9999085;2 982,73876953;-76,5
94726;2,47E-01;299,9999085;2 982,73876953;-73,5
113999;3,26E-02;299,9999085;2 982,73876953;-75
118808;2,71E-01;299,9999085;2 981,01269531;-76,5
123474;2,46E-02;299,9999085;2 981,01269531;-75
123475;2,39E-01;299,9999085;2 981,01269531;-73,5
92978;2,56E-01;299,9999085;2 979,28637695;-76,5
94727;2,31E-01;299,9999085;2 979,28637695;-73,5
106460;2,66E-02;299,9999085;2 979,28637695;-75
119396;2,46E-01;299,9999085;2 977,56054688;-76,5
119397;3,75E-02;299,9999085;2 977,56054688;-75
124404;2,33E-01;299,9999085;2 977,56054688;-73,5
92977;2,62E-01;299,9999085;2 975,83447266;-76,5
94728;2,47E-01;299,9999085;2 975,83447266;-73,5
117700;5,05E-02;299,9999085;2 975,83447266;-75
117705;2,77E-01;299,9999085;2 974,10815430;-76,5
117708;5,71E-02;299,9999085;2 974,10815430;-75
121860;2,31E-01;299,9999085;2 974,10815430;-73,5
92976;2,56E-01;299,9999085;2 972,38208008;-76,5
94729;2,52E-01;299,9999085;2 972,38208008;-73,5
117706;3,75E-02;299,9999085;2 972,38208008;-75
120936;2,54E-01;299,9999085;2 970,65600586;-73,5
120937;2,20E-02;299,9999085;2 970,65600586;-75
120940;2,51E-01;299,9999085;2 970,65600586;-76,5
92975;2,59E-01;299,9999085;2 968,92968750;-76,5
94730;2,38E-01;299,9999085;2 968,92968750;-73,5
115450;2,50E-02;299,9999085;2 968,92968750;-75
118386;2,37E-01;299,9999085;2 967,20361328;-76,5
118387;3,72E-02;299,9999085;2 967,20361328;-75
121645;2,48E-01;299,9999085;2 967,20361328;-73,5
92974;2,31E-01;299,9999085;2 965,47753906;-76,5
94731;1,86E-01;299,9999085;2 965,47753906;-73,5
100869;3,55E-02;299,9999085;2 965,47753906;-75
118443;2,12E-01;299,9999085;2 963,75122070;-76,5
123570;1,74E-01;299,9999085;2 963,75122070;-73,5
123571;4,40E-02;299,9999085;2 963,75122070;-75
92973;2,19E-01;299,9999085;2 962,02539063;-76,5
94732;1,88E-01;299,9999085;2 962,02539063;-73,5
103960;3,58E-02;299,9999085;2 962,02539063;-75
117597;2,09E-01;299,9999085;2 960,29931641;-76,5
117598;5,43E-02;299,9999085;2 960,29931641;-75
117600;1,91E-01;299,9999085;2 960,29931641;-73,5
92972;2,12E-01;299,9999085;2 958,57299805;-76,5
94733;1,80E-01;299,9999085;2 958,57299805;-73,5
98418;3,36E-02;299,9999085;2 958,57299805;-75
123743;2,06E-01;299,9999085;2 956,84692383;-76,5
124196;4,60E-02;299,9999085;2 956,84692383;-75
124198;1,77E-01;299,9999085;2 956,84692383;-73,5
92971;2,13E-01;299,9999085;2 955,12084961;-76,5
94734;1,69E-01;299,9999085;2 955,12084961;-73,5
112496;3,36E-02;299,9999085;2 955,12084961;-75
117036;2,02E-01;299,9999085;2 953,39453125;-76,5
124271;1,87E-01;299,9999085;2 953,39453125;-73,5
124272;5,72E-02;299,9999085;2 953,39453125;-75
92970;2,05E-01;299,9999085;2 951,66845703;-76,5
94735;1,72E-01;299,9999085;2 951,66845703;-73,5
108113;3,46E-02;299,9999085;2 951,66845703;-75
116852;2,03E-01;299,9999085;2 949,94262695;-76,5
122032;1,60E-01;299,9999085;2 949,94262695;-73,5
122033;5,18E-02;299,9999085;2 949,94262695;-75
92969;2,11E-01;299,9999085;2 948,21655273;-76,5
94736;1,83E-01;299,9999085;2 948,21655273;-73,5
113646;4,05E-02;299,9999085;2 948,21655273;-75
116848;2,12E-01;299,9999085;2 946,49023438;-76,5
122848;5,09E-02;299,9999085;2 946,49023438;-75
124504;1,96E-01;299,9999085;2 946,49023438;-73,5
92968;2,05E-01;299,9999085;2 944,76416016;-76,5
