Node  ,stress,X,Y,Z
92108  ,2.478e-01   ,300  ,1250  ,-76.5
92109  ,2.341e-01   ,300  ,1750  ,-76.5
92112  ,2.532e-01   ,300  ,1750  ,-73.5
92114  ,2.420e-01   ,300  ,1250  ,-73.5
92116  ,1.450e-01   ,300  ,1251.5  ,-76.5
92117  ,1.257e-01   ,300  ,1253.1  ,-76.5
92118  ,1.112e-01   ,300  ,1254.6  ,-76.5
92119  ,1.273e-01   ,300  ,1256.2  ,-76.5
92120  ,9.947e-02   ,300  ,1257.7  ,-76.5
92121  ,1.272e-01   ,300  ,1259.3  ,-76.5
92122  ,1.196e-01   ,300  ,1260.8  ,-76.5
92123  ,1.085e-01   ,300  ,1262.3  ,-76.5
92124  ,1.159e-01   ,300  ,1263.9  ,-76.5
92125  ,9.648e-02   ,300  ,1265.4  ,-76.5
92126  ,1.207e-01   ,300  ,1267  ,-76.5
92127  ,1.033e-01   ,300  ,1268.5  ,-76.5
92128  ,9.830e-02   ,300  ,1270.1  ,-76.5
92129  ,1.308e-01   ,300  ,1271.6  ,-76.5
92130  ,1.102e-01   ,300  ,1273.1  ,-76.5
92131  ,1.051e-01   ,300  ,1274.7  ,-76.5
92132  ,9.787e-02   ,300  ,1276.2  ,-76.5
92133  ,9.150e-02   ,300  ,1277.8  ,-76.5
92134  ,9.855e-02   ,300  ,1279.3  ,-76.5
92135  ,8.867e-02   ,300  ,1280.9  ,-76.5
92136  ,1.046e-01   ,300  ,1282.4  ,-76.5
92137  ,9.207e-02   ,300  ,1284  ,-76.5
92138  ,9.275e-02   ,300  ,1285.5  ,-76.5
92139  ,9.147e-02   ,300  ,1287  ,-76.5
92140  ,8.865e-02   ,300  ,1288.6  ,-76.5
92141  ,1.009e-01   ,300  ,1290.1  ,-76.5
92142  ,8.063e-02   ,300  ,1291.7  ,-76.5
92143  ,9.630e-02   ,300  ,1293.2  ,-76.5
92144  ,9.343e-02   ,300  ,1294.8  ,-76.5
92145  ,8.286e-02   ,300  ,1296.3  ,-76.5
92146  ,9.039e-02   ,300  ,1297.8  ,-76.5
92147  ,9.782e-02   ,300  ,1299.4  ,-76.5
92148  ,7.396e-02   ,300  ,1300.9  ,-76.5
92149  ,8.441e-02   ,300  ,1302.5  ,-76.5
92150  ,8.358e-02   ,300  ,1304  ,-76.5
92151  ,7.084e-02   ,300  ,1305.6  ,-76.5
92152  ,7.036e-02   ,300  ,1307.1  ,-76.5
92153  ,7.368e-02   ,300  ,1308.6  ,-76.5
92154  ,6.685e-02   ,300  ,1310.2  ,-76.5
92155  ,7.332e-02   ,300  ,1311.7  ,-76.5
92156  ,6.413e-02   ,300  ,1313.3  ,-76.5
92157  ,7.449e-02   ,300  ,1314.8  ,-76.5
92158  ,7.566e-02   ,300  ,1316.4  ,-76.5
92159  ,6.885e-02   ,300  ,1317.9  ,-76.5
92160  ,6.288e-02   ,300  ,1319.4  ,-76.5
92161  ,6.945e-02   ,300  ,1321  ,-76.5
92162  ,7.297e-02   ,300  ,1322.5  ,-76.5
92163  ,6.644e-02   ,300  ,1324.1  ,-76.5
92164  ,7.341e-02   ,300  ,1325.6  ,-76.5
92165  ,5.930e-02   ,300  ,1327.2  ,-76.5
92166  ,6.353e-02   ,300  ,1328.7  ,-76.5
92167  ,5.263e-02   ,300  ,1330.2  ,-76.5
92168  ,5.322e-02   ,300  ,1331.8  ,-76.5
92169  ,7.474e-02   ,300  ,1333.3  ,-76.5
92170  ,5.401e-02   ,300  ,1334.9  ,-76.5
92171  ,6.199e-02   ,300  ,1336.4  ,-76.5
92172  ,5.079e-02   ,300  ,1338  ,-76.5
92173  ,6.083e-02   ,300  ,1339.5  ,-76.5
92174  ,4.823e-02   ,300  ,1341  ,-76.5
